#{"t_start": 1784802287.9503446, "env_id": "UR10E-reach-v0"}
r,l,t
-972.81547,1000,17.464899
-1304.710173,1000,105.065008
-1231.290859,1000,189.743792
-538.843569,1000,273.380544
-885.356407,1000,355.855425
-727.263633,1000,434.764381
-176.057535,1000,514.423327
-742.267297,1000,595.172685
-31.669881,110,604.401737
-53.815733,319,630.232818
-80.093997,191,645.955736
-179.305062,628,698.941891
-66.651515,180,712.92269
-129.53114,205,730.376602
-361.542886,1000,813.98564
-56.949902,125,824.405454
-59.690615,304,850.90923
-517.475057,1000,931.17973
-297.922089,1000,1011.163973
-74.990381,129,1021.84429
-272.376748,1000,1109.085919
-15.624999,66,1115.180044
-50.780695,119,1126.213996
-34.043528,146,1139.604149
-112.281678,505,1180.261718
-43.461783,107,1189.18004
-98.080313,189,1203.78994
-165.698694,323,1230.040269
-127.448481,183,1247.09615
-218.621543,353,1276.349007
-158.195266,223,1294.498296
-376.779677,1000,1376.173797
-204.493402,1000,1458.695632
-23.049704,115,1467.815588
-234.534208,1000,1548.870353
-64.518807,117,1558.736835
-125.166832,487,1597.917044
-46.551681,169,1611.088104
-34.466335,86,1617.920497
-240.650466,287,1640.741266
-278.110061,728,1702.057959
-55.135264,142,1714.09222
-274.798692,309,1739.490171
-102.404046,199,1756.101649
-90.79461,176,1769.952729
-210.385954,256,1790.428645
-160.30152,242,1810.003779
-94.076068,157,1823.422353
-109.528459,194,1838.647477
-99.206909,209,1855.507999
-40.107749,107,1863.991869
-40.847042,112,1872.807224
-225.8201,390,1904.509487
-55.218639,134,1915.156985
-257.538809,611,1964.957659
-103.010638,171,1978.764102
-175.736429,245,1998.617491
-37.015362,255,2018.72607
-154.287276,1000,2095.602887
-204.540659,294,2117.899824
-170.846828,235,2136.329697
-196.996275,875,2205.316431
-34.892241,88,2212.2633
-24.348441,69,2217.72221
-38.605874,170,2231.122533
-186.693444,257,2251.508482
-39.511099,137,2262.313948
-21.445602,75,2268.21762
-161.402455,222,2285.818132
-138.632935,396,2317.145884
-174.660111,1000,2396.597161
-116.034701,181,2410.815907
-44.622752,100,2418.749509
-163.571636,505,2458.43257
-97.954065,164,2471.511685
-383.007765,1000,2552.327286
-28.794316,98,2559.873593
-66.322647,475,2596.543679
-209.599692,261,2617.088304
-108.343931,182,2630.933823
-226.262575,287,2652.586335
-23.870829,79,2658.536042
-46.029084,119,2667.655773
-27.975452,86,2674.066158
-90.4338,173,2687.010569
-131.817632,188,2701.151393
-167.532602,212,2717.657979
-30.400876,99,2725.147002
-208.318409,264,2745.011046
-105.444404,173,2757.95191
-38.032534,96,2765.495222
-204.340192,438,2799.470904
-200.45991,260,2819.632162
-190.240949,250,2838.38235
-186.499899,234,2856.53331
-81.944742,214,2872.871351
-33.703536,89,2879.420687
-181.142906,238,2897.614046
-17.806558,80,2903.64813
-194.886708,250,2922.650101
-136.513856,196,2937.281631
-36.232914,101,2944.726723
-207.343708,254,2963.778951
-147.666722,196,2981.958946
-31.039687,90,2988.887375
-93.945465,153,3000.914407
-17.033199,76,3006.839949
-85.404652,168,3019.708352
-76.551287,159,3030.998185
-94.941177,180,3045.283072
