#{"t_start": 1784552127.7201524, "env_id": "UR10E-pgp-v0"}
r,l,t
-373.899005,1000,22.315399
-509.476241,1000,77.781773
-922.151137,1000,131.950964
-741.440665,1000,189.030828
-897.914182,1000,245.427659
-509.720409,1000,302.43749
-424.727959,1000,359.160609
-439.75725,1000,416.539054
-386.347514,1000,474.191429
-423.785029,1000,531.488164
-392.142262,1000,588.952027
-329.54429,1000,646.486207
-370.624939,1000,703.96949
-312.589695,1000,758.348895
-314.29318,1000,814.926619
-300.505082,1000,871.537185
-278.534157,1000,928.625344
-276.07497,1000,986.406823
-284.369825,1000,1043.108092
-312.540997,1000,1100.914784
-353.87947,1000,1159.003614
-276.163438,1000,1217.09013
-263.916258,1000,1275.545603
-314.436826,1000,1334.167329
-250.748475,1000,1388.406794
-248.287863,1000,1444.936818
-233.777411,1000,1503.410548
-370.496623,1000,1560.997658
-293.26267,1000,1617.208053
-278.143534,1000,1672.562264
-373.88481,1000,1727.050509
-230.298056,1000,1782.254018
-255.352572,1000,1836.450975
-247.446704,1000,1891.093987
-260.903739,1000,1945.684944
-247.284006,1000,2000.659362
-245.46084,1000,2055.296938
-231.234381,1000,2109.964778
-274.940652,1000,2164.876552
-274.472191,1000,2219.553525
-277.58179,1000,2274.039656
-278.75421,1000,2328.611704
-230.469491,1000,2347.037017
-221.98454,1000,2401.564899
-303.813835,1000,2456.30301
-240.295656,1000,2510.95469
-297.370154,1000,2565.557226
-229.737323,1000,2620.328033
-239.873376,1000,2674.838107
-329.548445,1000,2729.316983
-454.13534,1000,2783.944171
-256.645211,1000,2838.373376
-241.081854,1000,2896.210652
-254.400261,1000,2954.755834
-285.062411,1000,3010.453911
-237.562434,1000,3068.359899
-269.782582,1000,3122.406087
-240.325647,1000,3181.528098
-190.605414,1000,3239.25843
-256.165962,1000,3294.442385
-234.808675,1000,3349.579527
-278.567468,1000,3404.416949
-249.341127,1000,3460.612706
-193.813505,1000,3516.429847
-205.57647,1000,3572.641386
-211.252457,1000,3630.837819
-212.103907,1000,3687.633226
-223.550515,1000,3745.697433
-219.726869,1000,3805.026111
-238.95496,1000,3861.251774
-199.588327,1000,3919.157003
-199.54544,1000,3976.193623
-213.555446,1000,4033.407071
-233.485081,1000,4088.679394
-229.769195,1000,4144.43352
-207.205876,1000,4200.567238
-221.53383,1000,4255.916543
-225.812458,1000,4312.820989
-213.3492,1000,4368.711636
-236.656656,1000,4425.425334
-197.036503,1000,4482.338539
-234.119634,1000,4539.080408
-228.139866,1000,4595.991296
-200.541356,1000,4653.17116
-253.98292,1000,4709.356399
-208.867491,1000,4728.521162
-261.927387,1000,4783.538993
-260.128847,1000,4838.253146
-235.401557,1000,4893.038986
-273.680104,1000,4947.687212
-226.622639,1000,5002.673566
-224.834529,1000,5057.557779
-214.118454,1000,5111.65732
-230.131697,1000,5168.963962
-304.789845,1000,5224.735929
-253.577547,1000,5280.754245
-252.972839,1000,5337.888933
-278.088267,1000,5394.091506
-200.470147,1000,5449.074539
-254.226011,1000,5504.12832
-216.442637,1000,5559.072585
-246.385953,1000,5613.956678
-306.221952,1000,5668.930588
-231.264687,1000,5724.074976
-278.0271,1000,5779.19323
-254.283063,1000,5834.082564
-353.290506,1000,5889.037384
-209.593745,1000,5944.164832
-251.634206,1000,5999.406219
-245.237837,1000,6054.38547
-364.107047,1000,6109.495442
-302.026601,1000,6165.9048
-324.345701,1000,6221.321945
-231.993446,1000,6277.612555
-237.589181,1000,6334.166907
-249.547125,1000,6391.950603
-341.513297,1000,6450.885574
-249.026152,1000,6510.422324
-193.199758,1000,6568.484345
-202.223685,1000,6623.751806
-229.371741,1000,6679.00767
-311.206848,1000,6734.077453
-267.235991,1000,6789.079353
-301.933161,1000,6844.449893
-289.707411,1000,6899.701782
-226.561045,1000,6954.695132
-259.001047,1000,7014.794111
-282.211282,1000,7036.357604
-204.692176,1000,7098.490959
-251.04603,1000,7160.721607
-216.98702,1000,7218.364945
-228.732426,1000,7275.580644
-265.748796,1000,7332.524114
-214.080926,1000,7389.146095
-255.863545,1000,7445.858093
-293.013651,1000,7502.909685
-259.843632,1000,7558.980066
-245.506618,1000,7615.808467
-281.922269,1000,7670.696333
-258.732953,1000,7727.670175
-232.003208,1000,7786.066538
-240.481238,1000,7845.498353
-227.791592,1000,7908.28262
-216.929089,1000,7971.621896
-221.45632,1000,8035.381418
-345.737518,1000,8091.237835
-272.871021,1000,8146.800442
-207.647963,1000,8201.813989
-230.153274,1000,8256.662312
-313.708073,1000,8313.050103
-276.922072,1000,8370.576288
-209.871234,1000,8427.67224
-741.952988,1000,8486.495345
-185.982283,1000,8545.412986
-220.668203,1000,8604.698751
-234.655959,1000,8661.976687
-258.794851,1000,8719.900421
-191.924119,1000,8777.48531
-187.695337,1000,8835.463783
-441.204596,1000,8892.362588
-208.050915,1000,8952.832637
-202.697089,1000,9016.833416
-207.754249,1000,9076.650908
-248.690802,1000,9136.000985
-290.682654,1000,9194.397805
-226.409899,1000,9249.820083
-227.149612,1000,9306.074409
-414.450384,1000,9369.839849
-229.329387,1000,9432.278128
-209.696318,1000,9495.065806
-277.92163,1000,9516.632758
-224.06082,1000,9576.148685
-183.700623,1000,9637.383809
-206.404386,1000,9696.13952
-274.250279,1000,9755.279285
-218.988871,1000,9813.300906
-199.427975,1000,9874.457837
-253.654523,1000,9936.423057
-237.452746,1000,9999.22546
-230.714818,1000,10061.560345
-251.009416,1000,10124.144421
-276.878554,1000,10186.413636
-240.371998,1000,10248.710627
-228.677693,1000,10309.289151
-232.411613,1000,10365.881615
-227.141901,1000,10425.186491
-420.756458,1000,10486.448089
-237.845141,1000,10547.462119
-309.358873,1000,10603.602344
-196.627985,1000,10658.725713
-230.474612,1000,10713.66335
-243.577441,1000,10768.632678
-172.004565,1000,10823.546917
-254.039409,1000,10878.421152
-247.379376,1000,10933.549705
-234.183785,1000,10988.337092
-250.126452,1000,11044.626217
-363.327227,1000,11103.525925
-185.451863,1000,11159.435708
-230.725339,1000,11214.33517
-240.88975,1000,11270.638228
-232.083647,1000,11329.677011
-273.000213,1000,11385.894478
-315.728492,1000,11442.995039
-193.615498,1000,11497.869493
-223.875966,1000,11558.276262
-266.159527,1000,11616.067548
-239.353943,1000,11676.896631
-228.567875,1000,11735.106784
-241.042259,1000,11795.370308
-238.579562,1000,11852.434739
-205.751473,1000,11913.003926
-252.757955,1000,11967.567869
-209.133507,1000,11987.028161
-203.753147,1000,12040.064145
-213.916749,1000,12093.625647
-248.476548,1000,12146.012013
-247.993401,1000,12201.776422
-237.92085,1000,12255.675742
-263.032391,1000,12310.564079
-185.348404,1000,12367.049464
-211.450123,1000,12424.735586
-375.805106,1000,12479.644987
-191.686113,1000,12535.686903
-203.628448,1000,12590.348617
-185.812859,1000,12644.607583
-219.054566,1000,12698.004762
-257.92145,1000,12752.692605
-189.277476,1000,12807.360851
-263.992789,1000,12862.078018
-225.510272,1000,12916.070797
-169.749602,1000,12973.053956
-325.39545,1000,13030.48353
-223.823616,1000,13087.890386
-215.85673,1000,13142.759339
-203.950508,1000,13202.180921
-222.704192,1000,13262.365585
-247.398749,1000,13321.742069
-249.775589,1000,13381.430465
-222.411826,1000,13439.125767
-226.429214,1000,13497.56162
-367.316326,1000,13557.227385
-288.157011,1000,13615.897535
-215.378758,1000,13672.648762
-261.953348,1000,13729.041701
-219.153361,1000,13784.913528
-322.682513,1000,13838.227551
-211.9289,1000,13894.768648
-296.271941,1000,13951.294061
-234.06191,1000,14007.463914
-211.52386,1000,14064.31109
-232.688595,1000,14119.385536
-235.60377,1000,14174.109113
